instance,horizon,seed,scorer,surrogate_model,surrogate_min_samples,surrogate_lambda,surrogate_shortlist_multiplier,w,q,level,input_nodes,use_gra_scoring,possible_calls,feasible_successors,predicted_successors,shortlisted_successors,gra_scored_successors,selected_successors,completed_solutions,pool_size,training_samples,model_trained,fit_seconds,best_successor_score,best_completed_score
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,1,1,true,15,6,0,0,6,2,12,10,6,false,2.42e-7,46788.167439999976,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,2,2,true,28,15,0,0,15,4,30,20,21,true,7.6232e-5,41998.62187999998,37809.066319999976
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,3,4,false,52,33,33,16,16,8,32,20,37,true,1.2478e-5,51188.20743999998,37809.066319999976
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,4,8,false,94,69,69,32,32,16,64,20,69,true,1.9044e-5,44428.228239999975,37809.066319999976
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,5,16,false,171,141,141,64,64,32,128,20,133,true,3.5453e-5,39998.58187999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,6,20,false,201,176,176,80,80,40,160,20,213,true,6.1572e-5,39998.60187999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,7,20,false,190,176,176,80,80,40,160,20,293,true,6.7316e-5,45628.23323999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,8,20,false,182,173,173,80,80,40,160,20,373,true,6.6674e-5,46788.17243999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,9,20,false,174,170,170,80,80,40,160,20,453,true,8.7272e-5,42028.21323999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,10,20,false,164,162,162,80,80,40,160,20,533,true,8.5064e-5,41598.60687999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,11,20,false,152,151,151,80,80,40,160,20,613,true,9.3113e-5,39998.58187999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,12,20,false,146,146,146,80,80,40,160,20,693,true,7.5715e-5,41828.22323999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,13,20,false,156,156,156,80,80,40,160,20,773,true,9.623e-5,41998.60187999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,14,20,false,150,150,150,80,80,40,160,20,853,true,0.000105314,46188.17743999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,15,20,false,160,160,160,80,80,40,160,20,933,true,0.00011138,37809.06631999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,16,20,false,152,152,152,80,80,40,160,20,1013,true,0.000124752,35809.04631999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,17,20,false,162,162,162,80,80,40,160,20,1093,true,0.00014046,35809.04631999998,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,18,20,false,144,144,144,80,80,40,160,20,1173,true,0.000149165,37638.66767999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,19,20,false,152,152,152,80,80,40,160,20,1253,true,0.000161851,37397.29831999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,20,20,false,150,150,150,80,80,40,160,20,1333,true,0.001371775,35809.04631999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,21,20,false,152,152,152,80,80,40,160,20,1413,true,0.00015658,35809.041319999975,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,22,20,false,148,148,148,80,80,40,160,20,1493,true,0.000182997,35809.04631999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,23,20,false,152,152,152,80,80,40,160,20,1573,true,0.000185275,37397.28831999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,24,20,false,148,148,148,80,80,40,160,20,1653,true,0.000196255,37638.66767999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,25,20,false,158,158,158,80,80,40,160,20,1733,true,0.000215776,35809.026319999975,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,26,20,false,162,162,162,80,80,40,160,20,1813,true,0.000220769,37009.03131999997,33808.98631999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,27,20,false,164,164,164,80,80,40,160,20,1893,true,0.000208947,35809.026319999975,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,28,20,false,158,158,158,80,80,40,160,20,1973,true,0.000227773,35809.04631999997,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,29,20,false,156,156,156,80,80,40,160,20,2053,true,0.000284859,35809.026319999975,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,30,20,false,144,144,144,80,80,40,160,20,2133,true,0.000280555,35809.026319999975,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,31,20,false,152,152,152,80,80,40,160,20,2213,true,0.000260368,35809.026319999975,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,32,20,false,154,154,154,80,80,40,160,20,2293,true,0.000201883,35809.04631999997,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,33,20,false,156,156,156,80,80,40,160,20,2373,true,0.000316884,35809.026319999975,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,34,20,false,144,144,144,80,80,40,160,20,2453,true,0.00027381,36209.01631999997,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,35,20,false,152,152,152,80,80,40,160,20,2533,true,0.000282587,35809.026319999975,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,36,20,false,156,156,156,80,80,40,160,20,2613,true,0.000248921,35809.041319999975,33808.986319999975
LR1_DR02_VC01_V6a,120,1,predictive,linear,16,1.0,2,2,2,37,20,false,154,154,154,80,80,40,160,20,2693,true,0.000318454,35809.026319999975,33808.986319999975
