instance,horizon,seed,scorer,surrogate_model,surrogate_min_samples,surrogate_lambda,surrogate_shortlist_multiplier,w,q,level,input_nodes,use_gra_scoring,possible_calls,feasible_successors,predicted_successors,shortlisted_successors,gra_scored_successors,selected_successors,completed_solutions,pool_size,training_samples,model_trained,fit_seconds,best_successor_score,best_completed_score
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,1,1,true,15,6,0,0,6,1,6,4,6,false,1.44e-7,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,2,1,true,14,7,0,0,7,1,7,5,13,true,6.8356e-5,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,3,1,false,13,8,8,2,2,1,2,5,15,true,7.802e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,4,1,false,12,8,8,2,2,1,2,5,17,true,7.144e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,5,1,false,11,10,10,2,2,1,2,5,19,true,6.51e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,6,1,false,10,10,10,2,2,1,2,5,21,true,6.737e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,7,1,false,9,9,9,2,2,1,2,5,23,true,6.57e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,8,1,false,8,8,8,2,2,1,2,5,25,true,6.829e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,9,1,false,9,9,9,2,2,1,2,5,27,true,1.0562e-5,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,10,1,false,10,10,10,2,2,1,2,5,29,true,7.513e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,11,1,false,9,9,9,2,2,1,2,5,31,true,2.0567e-5,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,12,1,false,10,10,10,2,2,1,2,5,33,true,7.439e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,13,1,false,9,9,9,2,2,1,2,5,35,true,7.284e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,14,1,false,10,10,10,2,2,1,2,5,37,true,7.457e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,15,1,false,11,11,11,2,2,1,2,5,39,true,6.845e-6,46188.17743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,16,1,false,10,10,10,2,2,1,2,5,41,true,7.795e-6,71388.27743999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,17,1,false,9,9,9,2,2,1,2,5,43,true,1.1129e-5,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,18,1,false,8,8,8,2,2,1,2,5,45,true,7.919e-6,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,19,1,false,7,7,7,2,2,1,2,5,47,true,8.014e-6,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,20,1,false,8,8,8,2,2,1,2,5,49,true,8.278e-6,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,21,1,false,7,7,7,2,2,1,2,5,51,true,8.662e-6,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,22,1,false,8,8,8,2,2,1,2,5,53,true,8.424e-6,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,23,1,false,9,9,9,2,2,1,2,5,55,true,8.883e-6,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,24,1,false,10,10,10,2,2,1,2,5,57,true,8.618e-6,129767.62855999998,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,25,1,false,11,11,11,2,2,1,2,5,59,true,9.759e-6,146167.73855999997,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,26,1,false,10,10,10,2,2,1,2,5,61,true,8.752e-6,167746.92967999997,46188.17743999998
LR1_DR02_VC01_V6a,120,1,predictive,linear,4,1.0,2,1,1,27,1,false,11,11,11,2,2,1,2,5,63,true,8.893e-6,214606.39239999998,46188.17743999998
