job_index,worker,worker_pid,worker_run,instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,855895,1,LR1_DR02_VC01_V6a,120,1,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,233.301092607,0.095419918,115.374898961,348.771411486,355.780620594,408.47265625,557.03125,447.65625,2026-06-18 12:58:32,2026-06-18 13:04:28
2,3,855899,1,LR1_DR02_VC01_V6a,120,2,33809.0,33808.95631999997,33808.95631999997,33808.95631999997,-0.00012919636792451647,58,59,235.240394954,0.088972852,112.941074029,348.27044183500004,355.264501996,403.5625,552.6328125,443.64453125,2026-06-18 12:58:32,2026-06-18 13:04:27
3,4,855900,1,LR1_DR02_VC01_V6a,120,3,33809.0,33808.95631999997,33808.95631999997,33808.95631999997,-0.00012919636792451647,58,59,240.544162807,0.22780721,116.217267859,356.989237876,363.627324031,404.65234375,565.33984375,444.7734375,2026-06-18 12:58:32,2026-06-18 13:04:35
4,5,855901,1,LR1_DR02_VC01_V6a,120,4,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,231.238047354,0.078963538,117.715125553,349.032136445,355.923219406,404.5078125,550.9921875,444.22265625,2026-06-18 12:58:32,2026-06-18 13:04:28
5,6,855902,1,LR1_DR02_VC01_V6a,120,5,33809.0,33808.97631999997,33808.97631999997,33808.95631999997,-0.00012919636792451647,58,59,237.724792524,0.293928308,116.935862998,354.95458383000005,361.825790451,405.5546875,556.53125,446.0234375,2026-06-18 12:58:32,2026-06-18 13:04:34
6,7,855903,1,LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,343.060365599,0.115576953,158.057182085,501.23312463700006,508.017528037,409.50390625,569.84765625,454.875,2026-06-18 12:58:32,2026-06-18 13:07:00
7,8,855906,1,LR1_DR02_VC02_V6a,120,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,69,350.549304257,0.17677985,165.628427775,516.354511882,523.145318566,403.46875,560.03125,443.46484375,2026-06-18 12:58:32,2026-06-18 13:07:15
8,9,855907,1,LR1_DR02_VC02_V6a,120,3,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,352.044178355,0.22723013,159.562515238,511.833923723,518.632038389,404.17578125,564.796875,445.0390625,2026-06-18 12:58:32,2026-06-18 13:07:10
9,3,855899,2,LR1_DR02_VC02_V6a,120,4,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,352.521754816,0.127399513,156.436554769,509.085709098,509.088571454,443.6484375,553.44921875,443.8203125,2026-06-18 13:04:29,2026-06-18 13:12:58
10,2,855895,2,LR1_DR02_VC02_V6a,120,5,74982.0,78052.07825,78052.07825,78052.07825,4.0944203275452855,65,70,358.731300643,0.118610735,157.303352589,516.153263967,516.155735086,447.65625,560.83203125,447.89453125,2026-06-18 13:04:29,2026-06-18 13:13:05
11,5,855901,2,LR1_DR02_VC03_V7a,120,1,40446.0,42503.268153999976,42503.268153999976,42503.268153999976,5.086456396182505,63,69,410.40567247,0.124067839,163.385910849,573.9156511580001,573.918675559,444.22265625,546.6640625,444.26953125,2026-06-18 13:04:29,2026-06-18 13:14:03
12,6,855902,2,LR1_DR02_VC03_V7a,120,2,40446.0,41056.081255999976,41056.071255999974,41056.071255999974,1.508359926815937,65,68,415.849583792,0.830652239,174.122849168,590.803085199,590.806594377,446.0234375,549.73046875,446.0859375,2026-06-18 13:04:35,2026-06-18 13:14:26
13,4,855900,2,LR1_DR02_VC03_V7a,120,3,40446.0,42203.34139599999,42203.34139599999,42203.34139599999,4.344907768382507,66,68,412.289539402,0.115910672,168.738384382,581.1438344559999,581.147325357,444.7734375,550.17578125,444.97265625,2026-06-18 13:04:37,2026-06-18 13:14:18
14,7,855903,2,LR1_DR02_VC03_V7a,120,4,40446.0,41044.95706599999,41044.95706599999,41044.95706599999,1.4808808435938983,64,68,397.06656201,0.116522284,158.994986478,556.178070772,556.181396573,454.87890625,560.19921875,454.91015625,2026-06-18 13:07:01,2026-06-18 13:16:17
15,9,855907,2,LR1_DR02_VC03_V7a,120,5,40446.0,41047.41997399998,41047.41997399998,41047.41997399998,1.4869702170795187,64,69,411.918726289,0.118706541,163.771370662,575.808803492,575.811807925,445.04296875,550.91015625,445.08203125,2026-06-18 13:07:12,2026-06-18 13:16:48
16,8,855906,2,LR1_DR02_VC03_V8a,120,1,43721.0,43968.008466,43968.008466,43968.008466,0.5649652706937154,55,60,333.628885494,0.086678706,118.315787995,452.03135219499995,452.034568786,443.46484375,548.03125,443.50390625,2026-06-18 13:07:16,2026-06-18 13:14:48
17,3,855899,3,LR1_DR02_VC03_V8a,120,2,43721.0,46158.82522400002,46158.82522400002,46158.82522400002,5.575867944466096,56,59,338.833194703,0.242377543,118.944567976,458.020140222,458.022765763,443.82421875,547.97265625,443.84375,2026-06-18 13:12:59,2026-06-18 13:20:37
18,2,855895,3,LR1_DR02_VC03_V8a,120,3,43721.0,43772.63345599999,43772.63345599999,43772.63345599999,0.11809760984421366,54,60,332.991357763,0.090910606,108.010068177,441.092336546,441.095550565,447.89453125,549.21875,447.91796875,2026-06-18 13:13:06,2026-06-18 13:20:27
19,5,855901,3,LR1_DR02_VC03_V8a,120,4,43721.0,43968.008466,43968.008466,43968.008466,0.5649652706937154,55,59,323.293220151,0.082054348,115.715125053,439.090399552,439.093719708,444.26953125,547.4296875,444.27734375,2026-06-18 13:14:04,2026-06-18 13:21:23
20,4,855900,3,LR1_DR02_VC03_V8a,120,5,43721.0,46588.601374,46588.601374,46588.601374,6.558865016811138,55,60,347.741858253,0.090109053,121.275457838,469.107425144,469.110596677,444.97265625,545.7265625,444.984375,2026-06-18 13:14:19,2026-06-18 13:22:08
21,6,855902,3,LR1_DR02_VC04_V8a,120,1,41657.0,41950.059788000006,41950.059788000006,41950.059788000006,0.7035067047555176,74,82,738.706847282,0.256983731,270.684035274,1009.6478662869999,1009.651147177,446.0859375,556.67578125,446.109375,2026-06-18 13:14:27,2026-06-18 13:31:17
22,8,855906,3,LR1_DR02_VC04_V8a,120,2,41657.0,41950.079787999995,41950.079787999995,41708.688460000005,0.12408109081308027,74,81,725.42215952,0.301693168,269.294645706,995.0184983940001,995.021333305,443.50390625,520.90234375,443.52734375,2026-06-18 13:14:49,2026-06-18 13:31:24
